concentration,electric_field,gap_mm,pressure,npe,ne,ni,ne_std,ni_std,n_entries,Ar_750,ErrAr_750
0.1,95.4,0.57,10.0,100.0,218.4,226.79,227.15411046025534,236.91584385749104,100,225694.0,475.07262602680026
0.2,95.5,0.57,10.0,100.0,144.05,156.34,165.50817825928442,180.9091641033302,100,157744.0,397.16998879572964
0.5,96.8,0.57,10.0,100.0,84.3,104.67,92.99000706603593,115.49559919903197,100,101125.0,318.0015723231569
1.0,104.4,0.57,10.0,100.0,175.34,248.13,262.3538446411255,365.7016683063125,100,202156.0,449.6176153132793
2.0,114.2,0.57,10.0,100.0,228.55,396.81,298.7093237597549,522.2704066637968,100,270994.0,520.5708405202888
5.0,133.1,0.57,10.0,100.0,82.17,242.53,179.2731145374554,511.78956090024406,100,123785.0,351.83092530361796
20.0,197.2,0.57,10.0,100.0,199.83,1128.14,570.9404443635966,3250.12633793292,100,279829.0,528.9886577233958
50.0,273.0,0.57,10.0,100.0,118.38,920.3,727.7878170639206,5527.205631321228,100,107452.0,327.79871872842944
100.0,358.4,0.57,10.0,100.0,2882.86,25091.95,7736.670301488838,67311.42586896096,100,0.0,0.0
