file,gas_mixture,gas1,concentration_gas_1,gas2,concentration_gas_2,concentration,electric_field,gap_mm,pressure,npe,ne,ne_std,ni,ni_std,n_entries,CF4,ErrCF4,Ar_1s4_1s5,ErrAr_1s4_1s5,Ar_1s2_1s3,ErrAr_1s2_1s3,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd,Ar_696,ErrAr_696,Ar_727,ErrAr_727,Ar_750,ErrAr_750,Ar_763,ErrAr_763,Ar_772,ErrAr_772,Ar_794,ErrAr_794
ar_99.9_cf4_0.1_180.8kVcm_10.000bar_0.0500mm_100npe.root,ArCF4,ar,99.9,cf4,0.1,0.1,180.8,0.05,10.0,100.0,92.45,83.18087569151986,91.68,83.38942112495778,100,0.0,0.0,44272.0,210.40912527739854,33123.0,181.99725272651781,45375.0,213.01408404140793,27.0,5.196152422706632,0.0,0.0,31314.0,176.95762204550556,31314.0,176.95762204550556,30360.0,174.24121211699602,36312.0,190.55707806324068,31314.0,176.95762204550556,33650.0,183.43936327844145
ar_99.8_cf4_0.2_181.7kVcm_10.000bar_0.0500mm_100npe.root,ArCF4,ar,99.8,cf4,0.2,0.2,181.7,0.05,10.0,100.0,103.7,88.93812399072684,103.25,89.43621111488265,100,0.0,0.0,49496.0,222.47696509976038,37445.0,193.5071058126807,51886.0,227.7849863357987,84.0,9.16515138991168,0.0,0.0,35886.0,189.43600502544388,35886.0,189.43600502544388,34756.0,186.4296113818832,41500.0,203.7154878746336,35886.0,189.43600502544388,38496.0,196.20397549489155
ar_99.5_cf4_0.5_184.5kVcm_10.000bar_0.0500mm_100npe.root,ArCF4,ar,99.5,cf4,0.5,0.5,184.5,0.05,10.0,100.0,124.21,103.02978827857152,124.77,103.97142721328623,100,0.0,0.0,56913.0,238.56445669881336,42697.0,206.6325240614362,59996.0,244.94080917642123,228.0,15.0996688705415,0.0,0.0,41470.0,203.64184245876388,41470.0,203.64184245876388,40137.0,200.3422072355199,48158.0,219.44931077586003,41470.0,203.64184245876388,44561.0,211.09476544907503
ar_99.0_cf4_1.0_182.3kVcm_10.000bar_0.0500mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,182.3,0.05,10.0,100.0,71.34,60.010642153847776,72.24,61.370232642099815,100,0.0,0.0,34591.0,185.9865586541135,26475.0,162.7114009527298,36219.0,190.31290024588455,292.0,17.08800749063506,0.0,0.0,25185.0,158.6978260720669,25185.0,158.6978260720669,24441.0,156.3361762357005,29127.0,170.6663411455229,25185.0,158.6978260720669,26990.0,164.28633540255257
ar_98.0_cf4_2.0_187.0kVcm_10.000bar_0.0500mm_100npe.root,ArCF4,ar,98.0,cf4,2.0,2.0,187.0,0.05,10.0,100.0,85.76,86.4081365416826,89.52,90.4788026963981,100,0.0,0.0,39149.0,197.86106236447839,29936.0,173.02023003105734,41997.0,204.93169593793928,651.0,25.514701644346147,0.0,0.0,29144.0,170.7161386629864,29144.0,170.7161386629864,28242.0,168.05356288993102,33714.0,183.61372497719228,29144.0,170.7161386629864,31258.0,176.7993212656655
ar_95.0_cf4_5.0_202.0kVcm_10.000bar_0.0500mm_100npe.root,ArCF4,ar,95.0,cf4,5.0,5.0,202.0,0.05,10.0,100.0,105.93,105.61367134873012,116.66,116.73809242154948,100,0.0,0.0,41438.0,203.56325798139505,32020.0,178.94133116750865,47493.0,217.92888748396803,1875.0,43.30127018922193,0.0,0.0,33307.0,182.50205478295305,33307.0,182.50205478295305,32324.0,179.78876494375282,38502.0,196.219265109214,33307.0,182.50205478295305,35755.0,189.0899256967436
ar_80.0_cf4_20.0_248.3kVcm_10.000bar_0.0500mm_100npe.root,ArCF4,ar,80.0,cf4,20.0,20.0,248.3,0.05,10.0,100.0,87.1,103.70027711991648,118.52,139.75429232128158,100,0.0,0.0,23049.0,151.81897114655993,18792.0,137.08391590555036,32438.0,180.1055246237605,6334.0,79.58643100428615,0.0,0.0,23052.0,151.82885101323794,23052.0,151.82885101323794,22432.0,149.77316181479245,26502.0,162.79434879626504,23052.0,151.82885101323794,24700.0,157.1623364550171
ar_50.0_cf4_50.0_314.6kVcm_10.000bar_0.0500mm_100npe.root,ArCF4,ar,50.0,cf4,50.0,50.0,314.6,0.05,10.0,100.0,79.9,120.85532715197166,142.02,209.41660088749583,100,0.0,0.0,11963.0,109.37549999885715,9932.0,99.65942002640794,20593.0,143.50261321662404,16928.0,130.10764773832474,0.0,0.0,15004.0,122.49081598226049,15004.0,122.49081598226049,14640.0,120.9958676980334,17144.0,130.93509842666327,15004.0,122.49081598226049,15997.0,126.4792473095883
cf4_100.0_ar_0.0_400.2kVcm_10.000bar_0.0500mm_100npe.root,CF4,cf4,100.0,ar,0.0,100.0,400.2,0.05,10.0,100.0,129.15,171.04730133191023,257.92,336.03753638334194,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65883.0,256.67683962523773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
