           , N                    , P1                  , P2                  , P3                   , K1                  , K2                  , K3                 , K4               , K5
value      , 0.008289370009732438 , 0.08492013030174829 , 0.18957799552400775 , 0.03758421956261149  , 0.00754946041936027 , 0.07000000000000002 , 0.2662799892271041 , 48.00000000000001, 0.4834281721063912
uncertainty, 0.0003994252378509782, 0.005684709231902942, 0.010972777954715587, 0.0021623516243457533, 0.002962306542257276, 0.028289530380842445, 0.01646170033857669, 20.93803201190573, 0.051860862141689765
