,N,P1,P2,P3,K1,K2,K3,K4,K5
N,1.0,-0.7198075083590847,-0.8325020535910371,-2.2249045509359282e-09,-0.06104927448765848,0.0020538625565274657,-0.7721905018628898,0.44390412925863065,-0.50018019694537
P1,-0.7198075083590848,1.0,0.4789906738786618,-0.1632487978363968,0.04394372615609182,-0.0014783856893260377,0.555828521124478,-0.319525525231964,0.36003346129380326
P2,-0.8325020535910371,0.47899067387866157,1.0,0.49258936599866543,0.05082364638121715,-0.0017098447961028003,0.6428501785643492,-0.3695510992053513,0.416401041122589
P3,-2.2249044070026052e-09,-0.16324879783639704,0.4925893659986652,0.9999999999999998,1.3582650406308946e-10,-4.5695272701380935e-12,1.7180499861143855e-09,-9.876444859218094e-10,1.1128518797796987e-09
K1,-0.061049274487661224,0.0439437261560932,0.050823646381221096,1.3582921815942e-10,1.0,-0.08324166870355709,-0.09295033568683615,-0.6331019476194691,0.7413933149644953
K2,0.0020538625565275337,-0.0014783856893261043,-0.0017098447961029501,-4.569485676626753e-12,-0.08324166870355715,1.0000000000000002,0.5233151063028597,-0.02526638421041159,-0.2577679012530331
K3,-0.7721905018628895,0.5558285211244776,0.6428501785643489,1.718050222840682e-09,-0.09295033568683829,0.5233151063028598,0.9999999999999998,-0.3350348542118502,0.0998350451719328
K4,0.44390412925863176,-0.3195255252319647,-0.3695510992053522,-9.876445819029477e-10,-0.6331019476194681,-0.025266384210411597,-0.3350348542118514,0.9999999999999999,-0.5348933146762468
K5,-0.5001801969453724,0.3600334612938046,0.41640104112259196,1.1128534699504702e-09,0.7413933149644941,-0.2577679012530329,0.09983504517193494,-0.5348933146762473,1.0
