wavelength_nm,intensity_raw
200.34,0.22203076484748774
200.72,0.15877652135852077
201.1,0.10137338097246594
201.48,0.04982134368932323
201.85,0.004120409509092621
202.23,-0.035729421568225894
202.61,-0.06972814954263229
202.99,-0.09787577441412654
203.36,-0.12017229618270864
203.74,-0.1366177148483787
204.12,-0.14721203041113662
204.49,-0.1519552428709824
204.87,-0.15084735222791612
205.25,-0.14388835848193765
205.63,-0.1310782616330471
206.0,-0.11241706168124449
206.38,-0.08790475862652969
206.76,-0.05754135246890297
207.14,-0.03821629348212521
207.51,0.003205857281571944
207.89,0.05201710567099319
208.27,0.10147745177984416
208.64,0.16991757796767068
209.02,0.2514879583870793
209.4,0.3239492015373136
209.77,0.4035029502545061
210.15,0.49539722249512663
210.53,0.5893905792954208
210.9,0.6847813608168182
211.28,0.7755689951878351
211.66,0.8599951583424927
212.03,0.9518209221204481
212.41,1.0411273285058118
212.79,1.1266141157871907
213.16,1.2091399301179244
213.54,1.2833982795252799
213.92,1.3507499342142615
214.29,1.41408734632677
214.67,1.472296212446415
215.05,1.5197783020507192
215.42,1.5544270577095585
215.8,1.571616843493747
216.17,1.5703451895402671
216.55,1.5542064793515953
216.93,1.5240615986132748
217.3,1.4897174719579034
217.68,1.466209470475387
218.05,1.4538074377131396
218.43,1.446753295059571
218.81,1.4404442002542472
219.18,1.424301626918692
219.56,1.4056486807895499
219.93,1.3972957814737559
220.31,1.3996617101728122
220.69,1.3919202370695547
221.06,1.3845012462251862
221.44,1.3864121865410022
221.81,1.3761553690447295
222.19,1.3522196178422177
222.56,1.3437826063644436
222.94,1.3336896647759586
223.32,1.3139762757987945
223.69,1.290197185691949
224.07,1.2653294453064388
224.44,1.2443806623687832
224.82,1.231535838494746
225.19,1.2086051426028084
225.57,1.1851789688847931
225.94,1.16308950734091
226.32,1.138551833047423
226.69,1.1167038372199325
227.07,1.095245070353343
227.44,1.0717221370730743
227.82,1.0414953713837531
228.19,1.0089013126656696
228.57,0.9727723873330276
228.94,0.940492005040741
229.32,0.9169919960570094
229.69,0.8964918166268854
230.07,0.8776624208763283
230.44,0.8645391999012212
230.82,0.8544112387737038
231.19,0.8433121612729688
231.57,0.8379657622696747
231.94,0.8330045893927431
232.32,0.8316122996510087
232.69,0.8307772604997158
233.07,0.8257501927631263
233.44,0.8205353214891749
233.82,0.8145412080767118
234.19,0.8063789371777468
234.57,0.7975261702857487
234.94,0.7895376356000718
235.31,0.7831090044195277
235.69,0.774747407446738
236.06,0.7665435250801548
236.44,0.7589225722124179
236.81,0.752579764733373
237.19,0.7427068764927127
237.56,0.7323417220094864
237.93,0.7217077055865337
238.31,0.7111085230650509
238.68,0.7002717066949473
239.06,0.6891930012272148
239.43,0.6781229477726609
239.81,0.6675626517881734
240.18,0.6573194960643131
240.55,0.6455648015532864
240.93,0.6364568134939549
241.3,0.6268515192816698
241.67,0.6200815306395348
242.05,0.6139006857039745
242.42,0.6054221335000367
242.8,0.5959496082415088
243.17,0.5872532846966869
243.54,0.5764132637609084
243.92,0.5647627080908493
244.29,0.5572520890955512
244.66,0.5482162310778779
245.04,0.5395406398688368
245.41,0.530231474107564
245.78,0.5217949407507106
246.16,0.5141970723589713
246.53,0.508115569836683
246.9,0.5036787600466208
247.28,0.5008860818960098
247.65,0.49621070883119783
248.02,0.4896541807313244
248.4,0.48267940346880245
248.77,0.47460252094416244
249.14,0.46785669130141055
249.52,0.4597504196042137
249.89,0.451755878841746
250.26,0.44521234446682867
250.64,0.43807486207083834
251.01,0.4302081448504344
251.38,0.42548775174998665
251.75,0.4204878334882146
252.13,0.4142542833939485
252.5,0.4069787675840464
252.87,0.3976364342583895
253.25,0.3884037998111395
253.62,0.3783266994460519
253.99,0.3647281895458935
254.36,0.3514336008238581
254.74,0.33776955301151046
255.11,0.32307690367472264
255.48,0.3079417475584313
255.85,0.2935188847694057
256.23,0.2794947226773932
256.6,0.26597428733967404
256.97,0.25457179742703995
257.34,0.24421907900396594
257.71,0.2349714082387077
258.09,0.22637410584194392
258.46,0.21854236431863436
258.83,0.2111075298376704
259.2,0.20577828690227812
259.58,0.20149336234908646
259.95,0.19575585792290728
260.32,0.18886900534645534
260.69,0.18210992149694047
261.06,0.17583364962364467
261.44,0.17159268793635288
261.81,0.16913015671839396
262.18,0.1665212592867471
262.55,0.1647354432558654
262.92,0.16304060488174787
263.29,0.1620351885208215
263.67,0.16171985248313084
264.04,0.16115299759103352
264.41,0.1592216388905171
264.78,0.15689353566446645
265.15,0.15364381102502964
265.52,0.14973735921788378
265.9,0.14551030368263934
266.27,0.14016910378271435
266.64,0.13468748666686306
267.01,0.12994761145394904
267.38,0.12444999939085517
267.75,0.11751157111304046
268.12,0.11029066887610633
268.5,0.10299650357431182
268.87,0.09665243967402236
269.24,0.09120468858240457
269.61,0.08609957012342735
269.98,0.08130291063667981
270.35,0.0755963129019474
270.72,0.07059986916268429
271.09,0.06633482429098914
271.46,0.0629765955767889
271.83,0.06100333282616155
272.21,0.05934105419500333
272.58,0.0570988842021708
272.95,0.054487853208090034
273.32,0.052308158277106984
273.69,0.0503645256396865
274.06,0.0491573879442798
274.43,0.048610585322098894
274.8,0.04786894013824214
275.17,0.046945706713286524
275.54,0.045709821161532556
275.91,0.0450512043816107
276.28,0.045093738938127424
276.65,0.04569720719388727
277.02,0.0461511796652252
277.39,0.04598333302168277
277.76,0.04638024427087603
278.13,0.04643133793270012
278.5,0.04674969694243728
278.87,0.04714886135802056
279.24,0.047943340186216876
279.61,0.048199974387073526
279.98,0.04846926171286596
280.35,0.04877036443506844
280.72,0.04895510214644024
281.09,0.0495840344174474
281.46,0.0503814601278883
281.83,0.051297623545419994
282.2,0.05199078195951655
282.57,0.052468086584713636
282.94,0.05248018313229922
283.31,0.053198004536551095
283.68,0.053407609187542865
284.05,0.05393400223152935
284.42,0.05419613544497729
284.79,0.05435841634139878
285.16,0.05407114564971999
285.53,0.053675634660075466
285.9,0.053303727683729846
286.27,0.052997654424805724
286.64,0.052568371272594935
287.01,0.051565963531777455
287.38,0.05009584322317973
287.75,0.048461495621080354
288.12,0.04682410035743082
288.49,0.04574106597513057
288.86,0.044817148534312706
289.23,0.043936484698086385
289.59,0.04314629853040777
289.96,0.042472698315618895
290.33,0.04212139213465914
290.7,0.04122357096175264
291.07,0.04127313721220421
291.44,0.041133570622871
291.81,0.04120669945436042
292.18,0.040470506297350925
292.55,0.03984829535316991
292.91,0.03908734001731193
293.28,0.037802494230652885
293.65,0.036733407287222436
294.02,0.035594038195558696
294.39,0.03438009569127042
294.76,0.03321196859476911
295.13,0.0316415157348785
295.5,0.030037926105794616
295.86,0.02882215953058626
296.23,0.02731075791778333
296.6,0.025865760547858406
296.97,0.024494992406391462
297.34,0.023210196946320982
297.71,0.021671023660657984
298.07,0.020166615573605585
298.44,0.018749697512550508
298.81,0.0174209767884314
299.18,0.015561200153110208
299.55,0.013650906721980072
299.91,0.012083978244376863
300.28,0.010944601938541918
300.65,0.01006847283415374
301.02,0.009431173029243758
301.39,0.009053537092301557
301.75,0.008893754641628651
302.12,0.008946494699365285
302.49,0.009287110853373911
302.86,0.009928244017792114
303.23,0.01061919140572843
303.59,0.01171480890987961
303.96,0.01210643529756015
304.33,0.01256794728489596
304.7,0.012627195544357775
305.06,0.012815296477245679
305.43,0.013004890807910655
305.8,0.013200194658096829
306.17,0.013394372771248171
306.53,0.01358647303330097
306.9,0.01377692722881575
307.27,0.013976461818643593
307.64,0.01416478167647161
308.0,0.014350883347536297
308.37,0.014546394585832836
308.74,0.014735883959333354
309.11,0.014930619257185508
309.47,0.01511907896769752
309.84,0.015307220863596423
310.21,0.015501547335088184
310.57,0.015688298084126653
310.94,0.015876882503883076
311.31,0.016063764886979484
311.67,0.016251904213086844
312.04,0.01644372919825625
312.41,0.016629222630178183
312.77,0.016819605447003276
313.14,0.017010608262250117
313.51,0.017203625049142194
313.87,0.017386035244031765
314.24,0.017572501879822452
314.61,0.01775858439353596
314.97,0.01794338306181248
315.34,0.0181372133858521
315.71,0.018325670814902852
316.07,0.018516847628255367
316.44,0.01870405115194169
316.81,0.018831952648044478
317.17,0.019109256432255813
317.54,0.01938232733412155
317.91,0.019639338375489892
318.27,0.01974749116876242
318.64,0.019883383708915403
319.0,0.020167889246805355
319.37,0.020683699000244367
319.74,0.0215066712793043
320.1,0.021682836202205027
320.47,0.02136200160727525
320.83,0.02126840215048238
321.2,0.02083718306629164
321.57,0.02067985936877948
321.93,0.0205462174416741
322.3,0.02082824117121437
322.66,0.02065053029845206
323.03,0.019751657671604236
323.4,0.01842621257576756
323.76,0.017263188214443375
324.13,0.01625833294928003
324.49,0.015859343724230264
324.86,0.015551847620089635
325.22,0.015717273415991603
325.59,0.016609730834875165
325.95,0.018022212568085522
326.32,0.019667125944804856
326.68,0.021508235667411946
327.05,0.023951803428723748
327.42,0.02717780406244152
327.78,0.03109213591336376
328.15,0.03555605085112907
328.51,0.04087988939700019
328.88,0.0464789168610303
329.24,0.052579903351182816
329.61,0.059023755469243475
329.97,0.06584199362801382
330.34,0.0729964509330106
330.7,0.08030255951327774
331.07,0.08838179313470522
331.43,0.09632514770576431
331.8,0.10377181854128531
332.16,0.11044957750652928
332.52,0.11681468146345272
332.89,0.12300224023509405
333.25,0.12885614409242374
333.62,0.13333169771305667
333.98,0.1377031636099439
334.35,0.14114200033293617
334.71,0.14304873437283708
335.08,0.14272819764104874
335.44,0.14161453007896307
335.81,0.1403099793052872
336.17,0.13758265426370314
336.53,0.13378252739376234
336.9,0.12969747857625885
337.26,0.12429434741352098
337.63,0.11826691758189506
337.99,0.11150362068554528
338.36,0.10382556275363622
338.72,0.09550093072976851
339.08,0.0870155344713214
339.45,0.07874748654248326
339.81,0.07055144161567393
340.18,0.062347067752545185
340.54,0.0537582473425274
340.9,0.04529601588358702
341.27,0.03716577200437614
341.63,0.029540730871845354
341.99,0.022479874501352505
342.36,0.01659119799781272
342.72,0.011751155437440966
343.09,0.00797811151873313
343.45,0.0054777781504623925
343.81,0.0034802752788068957
344.18,0.0022756181332290906
344.54,0.00230467669971301
344.9,0.0035320554788549705
345.27,0.004938928693571772
345.63,0.006895174851988548
345.99,0.009072759009879205
346.36,0.011911403669030082
346.72,0.014802008203190041
347.08,0.017760140540281875
347.45,0.02085112089073459
347.81,0.02432005434799968
348.17,0.027817178437094962
348.54,0.030968037464839174
348.9,0.034927658987714105
349.26,0.03925658505656184
349.62,0.04317823685720408
349.99,0.04719386549902719
350.35,0.051517144962949415
350.71,0.05540495066134455
351.08,0.05910249112438015
351.44,0.06284368451506805
351.8,0.0662374483014457
352.16,0.06921378833670586
352.53,0.07180216496666475
352.89,0.07404055108949636
353.25,0.07657897344439617
353.61,0.07937359898057653
353.98,0.0814804678316117
354.34,0.08380401915827965
354.7,0.08608632702983764
355.06,0.08812981930639581
355.43,0.08975603141189416
355.79,0.09082318877845974
356.15,0.09087904275126266
356.51,0.09015898933776692
356.88,0.08877987503694211
357.24,0.08672784838839243
357.6,0.08394862910093652
357.96,0.08027637156389088
358.32,0.07562847235989788
358.69,0.0708345279830729
359.05,0.06586677514477854
359.41,0.060622006633843636
359.77,0.05496084407279238
360.13,0.049469475427520775
360.49,0.04430227485521896
360.86,0.0390705878726238
361.22,0.03390702872672356
361.58,0.028992083110064158
361.94,0.024458110187369635
362.3,0.020073490077239246
362.66,0.01608908278737442
363.03,0.012089947354805486
363.39,0.008793413115569273
363.75,0.006046325974421958
364.11,0.0035956378640022157
364.47,0.0016606066850925302
364.83,0.00030748205969157003
365.19,-0.0005298819550100188
365.56,-0.0013974894558763877
365.92,-0.0021026859322586474
366.28,-0.0026285332516118244
366.64,-0.0023814317344409614
367.0,-0.0018931682480616116
367.36,-0.001439773643809768
367.72,-0.0009574455037765624
368.08,-0.0007643080258828646
368.44,-0.00045075879209415247
368.8,-2.2056535577786663e-05
369.17,0.0009482388092058166
369.53,0.002563771436323166
369.89,0.003762362963330511
370.25,0.004727761689039107
370.61,0.005763387348390217
370.97,0.007209284421366317
371.33,0.008741335369540134
371.69,0.010145985105656063
372.05,0.012108948625536478
372.41,0.013747924386471195
372.77,0.015566719898670282
373.13,0.017576261265732557
373.49,0.02019618704549017
373.85,0.022931142391074806
374.21,0.025611368742406913
374.57,0.027943677406297877
374.93,0.030313339677493518
375.29,0.03259154030237781
375.65,0.03478930186219842
376.01,0.03694035163164763
376.37,0.03920228149830522
376.73,0.04101776099428519
377.09,0.04270509888351287
377.45,0.04392853745634228
377.81,0.045004899339241324
378.17,0.045978493703315935
378.53,0.04708907399246069
378.89,0.04772693269204195
379.25,0.0479243907362114
379.61,0.04748913787270846
379.97,0.04672142218792667
380.33,0.045537698086693223
380.69,0.04428436733422221
381.05,0.04265059801773825
381.41,0.04102580707378239
381.77,0.03878622144535999
382.13,0.03577388440813993
382.49,0.032779589067112536
382.85,0.029859352522471377
383.21,0.026966915420515818
383.57,0.023965939009058128
383.93,0.02089418456302396
384.28,0.018163993083759475
384.64,0.015012902836742406
385.0,0.012471699639744187
385.36,0.010082028957383976
385.72,0.008073176549477663
386.08,0.005822659748184889
386.44,0.003709094963261423
386.8,0.001772275901118776
387.16,0.00033304681171625653
387.52,-0.0007384043636838012
387.87,-0.0015756000734534737
388.23,-0.0020062660829453685
388.59,-0.0020411197204199664
388.95,-0.001994793624691892
389.31,-0.0014455307957393806
389.67,-0.0007389317331242939
390.03,0.0003395071512863334
390.38,0.0013615955132458843
390.74,0.0028906360596044718
391.1,0.004129884720490676
391.46,0.005415693404500137
391.82,0.006460921730576096
392.18,0.007381423276839889
392.54,0.008614521868090681
392.89,0.009802110633504587
393.25,0.010457936313053792
393.61,0.011109779201359317
393.97,0.011711201793146537
394.33,0.011843345775651326
394.68,0.012479224675613666
395.04,0.013410714014915582
395.4,0.01414743626684767
395.76,0.014660899115939511
396.12,0.01498961283129524
396.47,0.014591791849489206
396.83,0.014408944942441668
397.19,0.014057265423913685
397.55,0.013774363831694619
397.9,0.013786094129665577
398.26,0.013464907091953483
398.62,0.013046302800665236
398.98,0.012568101251804088
399.33,0.012022880478242437
399.69,0.011488250296594242
400.05,0.011157145286637277
400.41,0.011151100036646454
400.76,0.011285510540518903
401.12,0.011442047334568323
401.48,0.011700038344296814
401.84,0.011789911155654321
402.19,0.012300807237481979
402.55,0.013137615162375335
402.91,0.01392884238131582
403.26,0.014325996760196006
403.62,0.014575303097999613
403.98,0.014616475331175006
404.34,0.014585307197354772
404.69,0.014532101899494658
405.05,0.01387540136244357
405.41,0.013175690724611498
405.76,0.01287977114205438
406.12,0.012370426194955953
406.48,0.011742345033580032
406.83,0.011738014353787074
407.19,0.011304418413725283
407.55,0.01040450026388539
407.9,0.009552409747665185
408.26,0.008733832701735538
408.62,0.008032377645780669
408.97,0.0076932350410844836
409.33,0.0070425701809700356
409.68,0.006736152281886934
410.04,0.006371954150708367
410.4,0.005885118969622901
410.75,0.0056172007845961
411.11,0.0059519059231035315
411.47,0.006322827918793949
411.82,0.006596080323466449
412.18,0.0070659407732285755
412.53,0.0074770798439300415
412.89,0.00822095415785234
413.25,0.009527396493636783
413.6,0.01078671216330946
413.96,0.011433408569247792
414.31,0.012984750888281889
414.67,0.013654223255565203
415.03,0.01396057669419312
