wavelength_nm,intensity_raw
200.34,0.096400828395142
200.72,0.07193130471009014
201.1,0.04946866880920488
201.48,0.02901292069248622
201.85,0.010564060359934152
202.23,-0.005877912188451309
202.61,-0.02031299695267018
202.99,-0.03274119393272243
203.36,-0.043162503128608115
203.74,-0.05157692454032717
204.12,-0.05798445816787964
204.49,-0.06238510401126551
204.87,-0.06477886207048475
205.25,-0.06516573234553744
205.63,-0.06354571483642352
206.0,-0.05991880954314299
206.38,-0.05428501646569586
206.76,-0.046644335604082765
207.14,-0.055033674723383004
207.51,-0.06534347757154489
207.89,-0.06486638276864685
208.27,-0.05994571605999295
208.64,-0.04356832369197552
209.02,-0.020865091412186756
209.4,0.004301703328948277
209.77,0.049151516215663514
210.15,0.09242750823113281
210.53,0.13493857187540878
210.9,0.194847471790419
211.28,0.26082750898664614
211.66,0.3219517077322231
212.03,0.3885722369548205
212.41,0.4576859293648621
212.79,0.5339853102790002
213.16,0.6185597031290758
213.54,0.7082989819121364
213.92,0.8001910298378322
214.29,0.8887547408360876
214.67,0.974691635471088
215.05,1.0550312419448722
215.42,1.1304977850567925
215.8,1.2045858712971194
216.17,1.2725301803531384
216.55,1.345434717435238
216.93,1.410456229292849
217.3,1.4730483941333525
217.68,1.5318812817496932
218.05,1.59279085278664
218.43,1.649858531720306
218.81,1.7057587734454558
219.18,1.7896940736381202
219.56,1.8634059698367305
219.93,1.93161856069619
220.31,2.005266485819835
220.69,2.0883048424086015
221.06,2.1807325739486045
221.44,2.285246736516466
221.81,2.391862050538101
222.19,2.504888588999264
222.56,2.6253697921217953
222.94,2.7308744565232157
223.32,2.8503963863902064
223.69,2.9732782407477956
224.07,3.083597613848104
224.44,3.1844473743535096
224.82,3.2886815067632575
225.19,3.3949276651408478
225.57,3.4995088674818495
225.94,3.588145077771008
226.32,3.6749905426520693
226.69,3.7434105696069517
227.07,3.796462257770158
227.44,3.8464346465714625
227.82,3.887829533696029
228.19,3.923483515698558
228.57,3.953853905177489
228.94,3.9738048635551464
229.32,3.9956656595414355
229.69,4.001597906898637
230.07,4.003532329310714
230.44,4.003187078701802
230.82,4.008907320020077
231.19,4.009957925123273
231.57,4.014579933301606
231.94,4.0255514483224655
232.32,4.012718322175398
232.69,4.004148577997422
233.07,4.004317940164722
233.44,4.006903191353125
233.82,4.019755544052172
234.19,4.031735410801139
