wavelength_nm,intensity_raw
200.34,0.11317711161839485
200.72,0.08286559662501526
201.1,0.05519283746844491
201.48,0.030158834148683797
201.85,0.007763586665731917
202.23,-0.01199290498041071
202.61,-0.02911064078974411
202.99,-0.04358962076226826
203.36,-0.05542984489798321
203.74,-0.0646313131968889
204.12,-0.07119402565898535
204.49,-0.07511798228427256
204.87,-0.07640318307275053
205.25,-0.0750496280244193
205.63,-0.07105731713927878
206.0,-0.06442625041732909
206.38,-0.0551564278585701
206.76,-0.043247849463002024
207.14,-0.02754385722458033
207.51,-0.008982195479642376
207.89,0.016032286855884224
208.27,0.04206595451056812
208.64,0.06497922431143258
209.02,0.08954147184455404
209.4,0.11560078186872311
209.77,0.14284569596033492
210.15,0.15809071214553388
210.53,0.19132615297721622
210.9,0.22440319750233995
211.28,0.2570204356924999
211.66,0.288876457519291
212.03,0.30413296498975173
212.41,0.3228807135289573
212.79,0.3600609218313058
213.16,0.38390642119146806
213.54,0.40469396000473123
213.92,0.4301729457405851
214.29,0.4550849519100323
214.67,0.4753546970047069
215.05,0.4951618710668216
215.42,0.5139333017306802
215.8,0.5336980490786423
216.17,0.55150190249746
216.55,0.5654633350362084
216.93,0.5750780497892021
217.3,0.5876620505003184
217.68,0.5967390145993199
218.05,0.6028490304298887
218.43,0.6043782637479483
218.81,0.6231266400353369
219.18,0.6435604926715173
219.56,0.6734816617371554
219.93,0.6976228347030236
220.31,0.7136667407174053
220.69,0.7282718459380382
221.06,0.7349875548754081
221.44,0.7378834715987025
221.81,0.743159844900989
222.19,0.7505889067137723
222.56,0.7532194185509705
222.94,0.7500016432069165
223.32,0.758130849116754
223.69,0.7471836680810342
224.07,0.7297797347342868
224.44,0.702251486234058
224.82,0.6709275176794489
225.19,0.6549672074359284
225.57,0.6381756653480707
225.94,0.600578380165977
226.32,0.5753531083772384
226.69,0.557452613782839
227.07,0.5386082629234944
227.44,0.5231218435591315
227.82,0.5147537826221733
228.19,0.5125771296491186
228.57,0.5132806650891347
228.94,0.5101212075851752
229.32,0.509538708010612
229.69,0.5149879719248591
230.07,0.5231774151510725
230.44,0.5347307661259235
230.82,0.5480788605758741
231.19,0.5604430897665118
231.57,0.5735556229813223
231.94,0.5869484478840891
232.32,0.599002767415409
232.69,0.6126070925000495
233.07,0.6240082320664623
233.44,0.6369143548948114
233.82,0.6470956523668044
234.19,0.6555803160766803
234.57,0.6620731048031925
234.94,0.6624359521305684
235.31,0.6536399488394635
235.69,0.6397317271477361
236.06,0.6221117438459465
236.44,0.6016655033833141
236.81,0.5768017976293188
237.19,0.550563140814323
237.56,0.5281841770172939
237.93,0.5043725747213162
238.31,0.4801744596369073
238.68,0.46059134191488993
239.06,0.44706286690778535
239.43,0.43747258591083094
239.81,0.4311627633580265
240.18,0.428221395924728
240.55,0.4277435830028191
240.93,0.4305489297923196
241.3,0.43542503101937324
241.67,0.4423958495181461
242.05,0.45778441281608295
242.42,0.47790860175561023
242.8,0.495954535346405
243.17,0.5149278781776246
243.54,0.5322052756044173
243.92,0.5456917150262148
244.29,0.5587850696716978
244.66,0.5680714327435769
245.04,0.5741499320879313
245.41,0.5771045874232759
245.78,0.5748734847225236
246.16,0.5694464370573533
246.53,0.5559228755699406
246.9,0.5388274109138154
247.28,0.5178695011519986
247.65,0.49188260309585224
248.02,0.4660804663724771
248.4,0.4401274421568419
248.77,0.41482361846376153
249.14,0.3905526753346501
249.52,0.36641285328579143
249.89,0.34405976628978735
250.26,0.3241385339139854
250.64,0.30591185191459674
251.01,0.29068381623437567
251.38,0.2800423141378431
251.75,0.27202537751348754
252.13,0.2673059072937239
252.5,0.2660027155506048
252.87,0.2679332638880879
253.25,0.2727630759171379
253.62,0.2837058980907412
253.99,0.29734356854245403
254.36,0.3105110074206135
254.74,0.32665470986238077
255.11,0.341426102719505
255.48,0.3528878243858073
255.85,0.36306254585295883
256.23,0.37184202095965413
256.6,0.3768155828993942
256.97,0.37930567366013906
257.34,0.3778937019418872
257.71,0.37317922434912887
258.09,0.3639447807376153
258.46,0.351885137683269
258.83,0.33653297425444045
259.2,0.31841049787341563
259.58,0.3001432778267224
259.95,0.28032354898017015
260.32,0.2602170464474757
260.69,0.24084514993027842
261.06,0.22275319016683578
261.44,0.20569091836529507
261.81,0.18967664001533951
262.18,0.1752265862429963
262.55,0.16253936599732927
262.92,0.1530452545957259
263.29,0.14467947866907208
263.67,0.13861275629140773
264.04,0.1345299171747334
264.41,0.13276496940518326
264.78,0.13357781475492947
265.15,0.1369750766329615
265.52,0.14187801714027307
265.9,0.14879269197058395
