pressure_bar,concentration_percent,ArCF4_reference_concentration_percent,ArCF4_reference_pressure_bar,ArCF4_visible_range_nm,ArN2_uv_range_nm,ArCF4_95_5_1bar_visible_integral_ph_MeV,ArN2_uv_integral_ph_MeV,ratio_ArN2_UV_over_ArCF4_95_5_1bar_VIS
1.0,0.1,5.0,1.0,500-750,323-450,6271.678641972015,3648.9991570419625,0.5818217681980277
1.0,0.5,5.0,1.0,500-750,323-450,6271.678641972015,7509.833228954116,1.1974199664338647
1.0,1.0,5.0,1.0,500-750,323-450,6271.678641972015,7984.514182604405,1.27310639438213
1.0,5.0,5.0,1.0,500-750,323-450,6271.678641972015,7835.389876902298,1.2493289794004183
1.0,10.0,5.0,1.0,500-750,323-450,6271.678641972015,7329.757997054463,1.1687075208224882
1.0,20.0,5.0,1.0,500-750,323-450,6271.678641972015,4662.229396353992,0.7433782345212827
1.0,50.0,5.0,1.0,500-750,323-450,6271.678641972015,2104.54459208332,0.3355632059970446
1.0,100.0,5.0,1.0,500-750,323-450,6271.678641972015,381.6095864161646,0.06084648276815638
2.0,0.1,5.0,1.0,500-750,323-450,6271.678641972015,1575.4051084355235,0.251193531807007
2.0,0.5,5.0,1.0,500-750,323-450,6271.678641972015,2867.322127577151,0.4571857538088996
2.0,1.0,5.0,1.0,500-750,323-450,6271.678641972015,3395.848690299356,0.5414576996297746
2.0,5.0,5.0,1.0,500-750,323-450,6271.678641972015,4309.680840446325,0.6871654442886482
2.0,10.0,5.0,1.0,500-750,323-450,6271.678641972015,3919.693971223666,0.6249832293689062
2.0,20.0,5.0,1.0,500-750,323-450,6271.678641972015,2713.8719777891693,0.43271859620279296
2.0,50.0,5.0,1.0,500-750,323-450,6271.678641972015,1090.2134654333254,0.1738312065508713
2.0,100.0,5.0,1.0,500-750,323-450,6271.678641972015,169.0711108292647,0.02695787212338791
3.0,0.1,5.0,1.0,500-750,323-450,6271.678641972015,636.6208741309172,0.10150725355576308
3.0,0.5,5.0,1.0,500-750,323-450,6271.678641972015,1503.2461644562811,0.23968800862915593
3.0,1.0,5.0,1.0,500-750,323-450,6271.678641972015,1864.2521363778787,0.29724930800850136
3.0,5.0,5.0,1.0,500-750,323-450,6271.678641972015,2973.400520801199,0.4740996295477071
3.0,10.0,5.0,1.0,500-750,323-450,6271.678641972015,2691.197724441745,0.4291032557745253
3.0,20.0,5.0,1.0,500-750,323-450,6271.678641972015,1812.2793167686477,0.28896240069449886
3.0,50.0,5.0,1.0,500-750,323-450,6271.678641972015,631.821481028735,0.10074200498737133
3.0,100.0,5.0,1.0,500-750,323-450,6271.678641972015,80.08621355013204,0.01276950209377284
4.0,0.1,5.0,1.0,500-750,323-450,6271.678641972015,373.4676074004099,0.059548269087170556
4.0,0.5,5.0,1.0,500-750,323-450,6271.678641972015,1090.3519344996103,0.17385328502047884
4.0,1.0,5.0,1.0,500-750,323-450,6271.678641972015,1224.5894657073634,0.19525704928693757
4.0,5.0,5.0,1.0,500-750,323-450,6271.678641972015,2057.5106781869504,0.3280637921110071
4.0,10.0,5.0,1.0,500-750,323-450,6271.678641972015,1928.3264703996251,0.30746576482644816
4.0,20.0,5.0,1.0,500-750,323-450,6271.678641972015,1370.3641194396262,0.21850037249496895
4.0,50.0,5.0,1.0,500-750,323-450,6271.678641972015,606.5463077381553,0.09671195581976405
4.0,100.0,5.0,1.0,500-750,323-450,6271.678641972015,83.644973585314,0.013336935509663386
5.0,0.1,5.0,1.0,500-750,323-450,6271.678641972015,215.88754585510443,0.03442260966789946
5.0,0.5,5.0,1.0,500-750,323-450,6271.678641972015,440.5438238398406,0.07024336688611323
5.0,1.0,5.0,1.0,500-750,323-450,6271.678641972015,751.5895919669341,0.11983866439473859
5.0,5.0,5.0,1.0,500-750,323-450,6271.678641972015,1495.9710426761815,0.23852801268621773
5.0,10.0,5.0,1.0,500-750,323-450,6271.678641972015,1088.2648445945163,0.1735205049109996
5.0,20.0,5.0,1.0,500-750,323-450,6271.678641972015,847.366619048709,0.13511001877198703
5.0,50.0,5.0,1.0,500-750,323-450,6271.678641972015,349.16357233839426,0.05567306494336039
5.0,100.0,5.0,1.0,500-750,323-450,6271.678641972015,67.08003033177302,0.010695705912425532
