energy_eV,primary_cumulative,secondary_cumulative
0.0,1.0,1.0
11.5,1.0,1.0
11.63,0.9608091422566662,0.9279952601662645
11.88,0.960567450413766,0.9278286253865001
12.13,0.9590332326283989,0.9265202337824244
12.38,0.9533377118087483,0.9214718171214151
12.5,0.9440220675160911,0.9135597509118626
12.63,0.8737790621305661,0.768149304762669
12.88,0.8645685012478654,0.7605643364541356
13.13,0.856797583081571,0.7540717517018349
13.38,0.8337107579140943,0.7370503175318304
13.63,0.7550978589255222,0.6790428991983016
13.88,0.6674004991461973,0.616536341811135
14.0,0.5927544988834887,0.5657867938851208
14.13,0.4390174701169052,0.19088322604933627
14.38,0.3901011427820833,0.16014219501206559
14.63,0.36369368185997636,0.14368855342496192
14.88,0.347379482464206,0.13432614746560845
15.13,0.3344752397215289,0.12754349476334775
15.38,0.31614869302508863,0.11826749202313139
15.63,0.28442401155917507,0.10280131579759429
15.88,0.22854590831472482,0.07759009078509668
16.13,0.17809010902403785,0.0563472421943949
16.38,0.1480099829239459,0.04456554609920325
16.63,0.1178720609483778,0.033758972048558614
16.88,0.09086562458951793,0.024341021162617035
17.13,0.06784710363851307,0.017151038998710125
17.38,0.050256140811769344,0.011800211070721036
17.63,0.03577039274924472,0.007887379575513328
17.88,0.024773413897280966,0.005036073343989731
18.13,0.01751740443977407,0.003431442131443983
18.38,0.01217391304347826,0.002135393844387802
18.63,0.009089714961250493,0.0014256531157617988
18.88,0.006268225403914357,0.0009257487764687002
19.13,0.003951136214370157,0.0005924792169399678
19.38,0.0020491264941547354,0.00028389629145040104
19.63,0.000577958754761592,8.640321913707844e-05
1100.0,0.0,0.0
