energy_eV,primary_cumulative,secondary_cumulative
0.0,1.0,1.0
11.548,1.0,1.0
11.624,0.9278065560381777,0.9013040995646113
11.723,0.8161395449552242,0.788892895916213
11.828,0.8020146869651454,0.7704607267495369
12.907,0.544394105834346,0.5658022757410809
13.076,0.5341708746426886,0.5456275192619054
13.095,0.5192253500933879,0.5174662564472443
13.153,0.5043554652932202,0.49709521823898656
13.172,0.49599455393806247,0.48171809435798024
13.273,0.48224146778686006,0.461823673266992
13.283,0.48224146778686006,0.461823673266992
13.302,0.46701068745161284,0.43743872065635103
13.328,0.45751715736923965,0.4246456598259197
13.48,0.45283194231999474,0.41629664273720035
13.845,0.42909539803811253,0.3855705693860608
13.864,0.42287415226627567,0.3732945089951502
13.903,0.39835352535612484,0.3248129219118028
13.979,0.37645557079336706,0.2801414543255234
14.013,0.3547355921109224,0.23576957464152756
14.063,0.34593122418731764,0.21919879488653224
14.068,0.34593122418731764,0.21919879488653224
14.09,0.3276268992745506,0.18305149530989973
14.099,0.3276268992745506,0.18305149530989973
14.153,0.30928203541126764,0.17116846795066845
14.214,0.26557017045145564,0.14851530246169217
14.234,0.2544664530296933,0.12526249159463407
14.236,0.2544664530296933,0.12526249159463407
14.241,0.2544664530296933,0.12526249159463407
14.255,0.24310911997848472,0.10471724161247788
14.304,0.23499341983620287,0.09796242660565967
14.711,0.18207130307018282,0.07193631456166252
14.848,0.18104398673881944,0.07149021972283892
14.859,0.18104398673881944,0.07149021972283892
15.004,0.14802402278882273,0.05698321556429588
15.022,0.13737018884229657,0.052431169914237095
15.118,0.12615227023066664,0.04762320669874792
15.186,0.12413026647933059,0.04680051390125432
15.19,0.12413026647933059,0.04680051390125432
15.308,0.08197816235948557,0.029775656557688043
15.351,0.08160391863338254,0.02962210601842982
15.36,0.08160391863338254,0.02962210601842982
15.366,0.08160391863338254,0.02962210601842982
15.374,0.08134140420992057,0.029538521932839717
15.66,0.06076393180359769,0.021604607830983585
100.0,0.0,0.0
